#TYPE Selected.System.Management.Automation.PSCustomObject
"name","enabled","distinguishedName","SamAccountName"
"bull buldog23 dog",,"CN=bull buldog23 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog23"
"tor torton11 tone","True","CN=tor torton11 tone,OU=Salg,OU=Mollenberg IT,DC=Mollenberg,DC=Local","torton11"
"tor torton12 tone","False","CN=tor torton12 tone,OU=Salg,OU=Mollenberg IT,DC=Mollenberg,DC=Local","torton12"
"torkil torkve kverner",,"CN=torkil torkve kverner,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","torkve"
"steven steger gerrard",,"CN=steven steger gerrard,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","steger"
"bull mikgun dog",,"CN=bull mikgun dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog"
"bull migundersen dog",,"CN=bull migundersen dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","budog"
"bull mikgundersen dog",,"CN=bull mikgundersen dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","bulldog"
"bull buldog2 dog",,"CN=bull buldog2 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog2"
"bull buldog3 dog",,"CN=bull buldog3 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog3"
"bull buldog4 dog",,"CN=bull buldog4 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog4"
"bull buldog5 dog",,"CN=bull buldog5 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog5"
"amanda amakva15 kvaal",,"CN=amanda amakva15 kvaal,OU=Salg,OU=Mollenberg IT,DC=Mollenberg,DC=Local","amakva15"
"bull buldog6 dog",,"CN=bull buldog6 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog6"
"bull buldog7 dog",,"CN=bull buldog7 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog7"
"bull buldog8 dog",,"CN=bull buldog8 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog8"
"bull buldog9 dog",,"CN=bull buldog9 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog9"
"bull buldog10 dog",,"CN=bull buldog10 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog10"
"bull buldog11 dog",,"CN=bull buldog11 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog11"
"bull buldog12 dog",,"CN=bull buldog12 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog12"
"bull buldog13 dog",,"CN=bull buldog13 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog13"
"bull buldog14 dog",,"CN=bull buldog14 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog14"
"bull buldog15 dog",,"CN=bull buldog15 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog15"
"bull buldog16 dog",,"CN=bull buldog16 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog16"
"bull buldog17 dog",,"CN=bull buldog17 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog17"
"bull buldog18 dog",,"CN=bull buldog18 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog18"
"bull buldog19 dog",,"CN=bull buldog19 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog19"
"bull buldog20 dog",,"CN=bull buldog20 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog20"
"bull buldog21 dog",,"CN=bull buldog21 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog21"
"bull buldog22 dog",,"CN=bull buldog22 dog,OU=Ledelse,OU=Mollenberg IT,DC=Mollenberg,DC=Local","buldog22"
"amanda amakva17 kvaal","True","CN=amanda amakva17 kvaal,OU=Salg,OU=Mollenberg IT,DC=Mollenberg,DC=Local","amakva17"
"amanda amakva18 kvaal","True","CN=amanda amakva18 kvaal,OU=Salg,OU=Mollenberg IT,DC=Mollenberg,DC=Local","amakva18"
"amanda amakva19 kvaal","True","CN=amanda amakva19 kvaal,OU=Salg,OU=Mollenberg IT,DC=Mollenberg,DC=Local","amakva19"
